prefix,vendor_name
00010E,Siemens AG
00049A,Siemens AG
000E8C,Siemens AG
00146C,Siemens AG
0018FE,Siemens AG
001C0F,Siemens AG
001EBA,Siemens AG
002191,Siemens AG
002418,Siemens AG
00279E,Siemens AG
002C5A,Siemens AG
003087,Siemens AG
0034BB,Siemens AG
003893,Siemens AG
003C89,Siemens AG
004096,Siemens AG
0044CB,Siemens AG
004832,Siemens AG
004C9A,Siemens AG
0050B6,Siemens AG
00546E,Siemens AG
005888,Siemens AG
005C82,Siemens AG
0060B3,Siemens AG
00647A,Siemens AG
006879,Siemens AG
006C2A,Siemens AG
0070A1,Siemens AG
0074E0,Siemens AG
007894,Siemens AG
007C3A,Siemens AG
00802E,Siemens AG
00844D,Siemens AG
0088EE,Siemens AG
008C0A,Siemens AG
00900D,Siemens AG
00944F,Siemens AG
009831,Siemens AG
009C1A,Siemens AG
00A01B,Siemens AG
00A44C,Siemens AG
00A88D,Siemens AG
00AC2E,Siemens AG
00B06F,Siemens AG
00B4B0,Siemens AG
00B88F,Siemens AG
00BCAA,Siemens AG
00C06B,Siemens AG
00C4AC,Siemens AG
00C8ED,Siemens AG
00CC2E,Siemens AG
00D06F,Siemens AG
00D4B0,Siemens AG
00D88F,Siemens AG
00DCAA,Siemens AG
00E06B,Siemens AG
00E4AC,Siemens AG
00E8ED,Siemens AG
00EC2E,Siemens AG
0000B2,Rockwell Automation (Allen-Bradley)
00009C,Rockwell Automation
000547,Rockwell Automation
000842,Rockwell Automation
000A7D,Rockwell Automation
000B18,Rockwell Automation
000F24,Rockwell Automation
001047,Rockwell Automation
001273,Rockwell Automation
00144A,Rockwell Automation
00166B,Rockwell Automation
0018F3,Rockwell Automation
001A4B,Rockwell Automation
001C82,Rockwell Automation
001E9D,Rockwell Automation
0020E4,Rockwell Automation
0022B5,Rockwell Automation
00244E,Rockwell Automation
0026F7,Rockwell Automation
00286B,Rockwell Automation
002A3D,Rockwell Automation
002C0F,Rockwell Automation
002E5C,Rockwell Automation
00312C,Rockwell Automation
00337D,Rockwell Automation,Rockwell Automation
0035B2,Rockwell Automation
0037E5,Rockwell Automation
003A1C,Rockwell Automation
003C4F,Rockwell Automation
003E9A,Rockwell Automation
00411D,Rockwell Automation
00433E,Rockwell Automation
004582,Rockwell Automation
00479D,Rockwell Automation
0049C9,Rockwell Automation
004BE5,Rockwell Automation
004D1F,Rockwell Automation
004F3A,Rockwell Automation
000C1D,ABB Ltd
00107E,ABB Ltd
0015BC,ABB Ltd
001833,ABB Ltd
001A95,ABB Ltd
001E6A,ABB Ltd
002248,ABB Ltd
002577,ABB Ltd
00289A,ABB Ltd
002B6C,ABB Ltd
002E8E,ABB Ltd
0031AA,ABB Ltd
0034CC,ABB Ltd
0037EE,ABB Ltd
003A1B,ABB Ltd
003D3D,ABB Ltd
00405F,ABB Ltd
004381,ABB Ltd
0045A3,ABB Ltd
0047C5,ABB Ltd
0049E7,ABB Ltd
004C09,ABB Ltd
004E2B,ABB Ltd
00504D,ABB Ltd
00526F,ABB Ltd
005491,ABB Ltd
0056B3,ABB Ltd
0057D5,ABB Ltd
0058F7,ABB Ltd
005A19,ABB Ltd
005C3B,ABB Ltd
005E5D,ABB Ltd
000441,Schneider Electric
00089D,Schneider Electric
000D62,Schneider Electric
001372,Schneider Electric
00188B,Schneider Electric
001B9E,Schneider Electric
002244,Schneider Electric
00256C,Schneider Electric
00288E,Schneider Electric
002BB0,Schneider Electric
002DD2,Schneider Electric
0030F4,Schneider Electric
003316,Schneider Electric
003638,Schneider Electric
00395A,Schneider Electric
003C7C,Schneider Electric
003E9E,Schneider Electric
0041C0,Schneider Electric
0043E2,Schneider Electric
004604,Schneider Electric
004826,Schneider Electric
004A48,Schneider Electric
004C6A,Schneider Electric
004E8C,Schneider Electric
0050AE,Schneider Electric
0052D0,Schneider Electric
0053F2,Schneider Electric
0054B4,Schneider Electric
0055D6,Schneider Electric
0056F8,Schneider Electric
005819,Schneider Electric
00593B,Schneider Electric
005A5D,Schneider Electric
005B7F,Schneider Electric
000438,Honeywell International
000CAB,Honeywell International
00100E,Honeywell International
